healing_id,bot_id,environment,strategy,old_locator,new_locator,model_confidence,is_success_status,locator_changed,is_visual_strategy,last_n_failures,avg_exec_time_before,avg_exec_time_after,failed
H202500000,BOT_003,qa,hybrid,//div[@id='old-795'],//div[@id='old-795'],0.5839598178306621,0.0,0.0,1.0,1.0,1.1919624825681354,1.0699469196501021,0
H202500001,BOT_024,prod,css,//div[@id='old-678'],//div[@id='new-709'],0.5238807920285588,1.0,1.0,0.0,1.0,1.1144673874566493,1.0234025350093805,0
H202500002,BOT_024,dev,css,//div[@id='old-815'],//div[@id='new-270'],0.5133571315897757,1.0,1.0,0.0,0.0,1.0199519825330765,0.9572564240865163,0
H202500003,BOT_014,qa,dom,//div[@id='old-216'],//div[@id='old-216'],0.5062795777486386,0.0,0.0,0.0,4.0,1.309698549026529,2.0534202927004905,1
H202500004,BOT_025,prod,vision,//div[@id='old-106'],//div[@id='new-608'],0.23846213203941824,0.0,1.0,1.0,3.0,1.7676180373118702,1.6426166096822736,1
H202500005,BOT_017,prod,css,//div[@id='old-924'],//div[@id='new-363'],0.38354502305701343,0.0,1.0,0.0,0.0,0.7203968973441047,0.7684316632225784,1
H202500006,BOT_014,prod,ocr,//div[@id='old-695'],//div[@id='new-547'],0.36008642419813147,1.0,1.0,1.0,3.0,1.4580654883013786,1.3759351660160792,0
H202500007,BOT_021,qa,css,//div[@id='old-336'],//div[@id='new-800'],0.545881976294569,0.0,1.0,0.0,2.0,1.4080858761832065,1.2550868038993408,0
H202500008,BOT_008,qa,dom,//div[@id='old-744'],//div[@id='old-744'],0.5304525966713867,1.0,0.0,0.0,0.0,1.427737486753355,2.0123016149634494,1
H202500009,BOT_001,prod,css,//div[@id='old-781'],//div[@id='new-813'],0.5160643970989767,0.0,1.0,0.0,3.0,1.6759263466138545,2.4120229705218668,1
H202500010,BOT_006,prod,vision,//div[@id='old-244'],//div[@id='old-244'],0.7038879513409635,0.0,0.0,1.0,2.0,1.677948949148022,2.0799984493214967,0
H202500011,BOT_018,qa,dom,//div[@id='old-206'],//div[@id='new-352'],0.3227263528842693,1.0,1.0,0.0,2.0,1.1262208215358538,0.9862558430957528,0
H202500012,BOT_008,prod,ocr,//div[@id='old-692'],//div[@id='old-692'],0.4735362539829003,1.0,0.0,1.0,0.0,0.8978350899543287,1.6898310748598417,1
H202500013,BOT_029,prod,dom,//div[@id='old-385'],//div[@id='old-385'],0.5115034233436655,1.0,0.0,0.0,1.0,0.7349735633018744,0.7574017272887692,1
H202500014,BOT_026,prod,css,//div[@id='old-900'],//div[@id='new-160'],0.3091094421372661,1.0,1.0,0.0,2.0,1.2912559271493897,1.1015235797709932,0
H202500015,BOT_025,dev,dom,//div[@id='old-351'],//div[@id='new-218'],0.5348396241694624,1.0,1.0,0.0,2.0,1.1975440206731747,1.1740564127712318,0
H202500016,BOT_001,dev,css,//div[@id='old-709'],//div[@id='old-709'],0.5179910253332425,1.0,0.0,0.0,2.0,1.2147935611424876,1.144213651928611,0
H202500017,BOT_016,prod,dom,//div[@id='old-695'],//div[@id='new-263'],0.6625692550800281,0.0,1.0,0.0,1.0,1.2442307524581364,1.7507036925537325,1
H202500018,BOT_028,prod,css,//div[@id='old-777'],//div[@id='new-642'],0.42146103893841524,1.0,1.0,0.0,1.0,0.5083454437604298,0.4984225862127378,0
H202500019,BOT_009,qa,css,//div[@id='old-470'],//div[@id='new-272'],0.5053793623796895,1.0,1.0,0.0,3.0,3.8356864868230858,3.296435012431297,0
H202500020,BOT_025,qa,dom,//div[@id='old-485'],//div[@id='new-631'],0.5652647393959026,0.0,1.0,0.0,1.0,1.090953472409445,1.4001330984448241,1
