healing_id,bot_id,environment,strategy,old_locator,new_locator,model_confidence,is_success_status,locator_changed,is_visual_strategy,last_n_failures,avg_exec_time_before,avg_exec_time_after,failed
H202500000,BOT_003,qa,hybrid,//div[@id='old-795'],//div[@id='old-795'],0.5987891295999518,1.0,0.0,1.0,1.0,1.1923630768570201,0.9854309605282302,0
H202500001,BOT_013,qa,dom,//div[@id='old-839'],//div[@id='old-839'],0.5523160302560227,1.0,0.0,0.0,1.0,0.9264162140723804,1.1117526711247803,0
H202500002,BOT_011,dev,dom,//div[@id='old-519'],//div[@id='new-666'],0.5243569571317094,1.0,1.0,0.0,4.0,0.872024373282441,1.1062624438723538,1
H202500003,BOT_022,qa,ocr,//div[@id='old-599'],//div[@id='new-512'],0.3778745761222698,1.0,1.0,1.0,2.0,1.2312151434310752,1.863574957998954,1
H202500004,BOT_016,dev,dom,//div[@id='old-611'],//div[@id='new-992'],0.5337520244523268,1.0,1.0,0.0,3.0,1.6222166333386365,1.48794493039241,0
H202500005,BOT_026,qa,dom,//div[@id='old-195'],//div[@id='new-180'],0.5261288969107379,1.0,1.0,0.0,1.0,1.5220314251528553,1.4068404688008285,0
H202500006,BOT_024,qa,dom,//div[@id='old-749'],//div[@id='new-404'],0.36993185127065303,0.0,1.0,0.0,1.0,1.0217002979297407,1.4635468456347553,1
H202500007,BOT_029,prod,vision,//div[@id='old-591'],//div[@id='new-258'],0.3316836386370636,0.0,1.0,1.0,3.0,1.0549453745942512,1.724696213387474,1
H202500008,BOT_014,prod,vision,//div[@id='old-870'],//div[@id='new-813'],0.46147485277367706,0.0,1.0,1.0,3.0,2.011363470003149,3.286013727257274,1
H202500009,BOT_006,prod,vision,//div[@id='old-587'],//div[@id='old-587'],0.6007933593535326,1.0,0.0,1.0,2.0,1.6500567026984743,2.210105023082309,0
H202500010,BOT_015,qa,css,//div[@id='old-943'],//div[@id='old-943'],0.5269139754652106,1.0,0.0,0.0,2.0,0.8095903748597049,0.8756284610922139,1
H202500011,BOT_024,dev,hybrid,//div[@id='old-914'],//div[@id='new-330'],0.5171587154727129,1.0,1.0,1.0,1.0,1.6502840988525287,1.3490628712800932,0
H202500012,BOT_030,dev,dom,//div[@id='old-941'],//div[@id='new-952'],0.48782612527236285,0.0,1.0,0.0,6.0,1.827065753489681,1.931530355374143,0
H202500013,BOT_008,dev,ocr,//div[@id='old-256'],//div[@id='new-306'],0.5340613052401681,0.0,1.0,1.0,1.0,1.5323243088663303,2.0888443829807732,1
H202500014,BOT_009,prod,dom,//div[@id='old-218'],//div[@id='old-218'],0.4938352867428573,1.0,0.0,0.0,3.0,1.2140495702618306,1.0839635542115358,0
H202500015,BOT_010,qa,hybrid,//div[@id='old-959'],//div[@id='new-763'],0.7098809024250123,1.0,1.0,1.0,0.0,1.2419809854997181,1.8632325831792635,1
H202500016,BOT_025,qa,ocr,//div[@id='old-932'],//div[@id='new-482'],0.4550315446540717,1.0,1.0,1.0,0.0,0.530652299984071,0.5045018259084769,0
H202500017,BOT_004,prod,css,//div[@id='old-686'],//div[@id='old-686'],0.5983112117061702,0.0,0.0,0.0,1.0,0.7688389477536343,1.0525291633441474,1
H202500018,BOT_028,prod,dom,//div[@id='old-229'],//div[@id='new-844'],0.5696977044439674,0.0,1.0,0.0,1.0,1.3106800371536969,1.7403576679181436,1
H202500019,BOT_010,prod,hybrid,//div[@id='old-195'],//div[@id='new-146'],0.25577096490674067,1.0,1.0,1.0,1.0,2.1819007917856434,3.348969505765957,1
H202500020,BOT_013,dev,ocr,//div[@id='old-931'],//div[@id='new-489'],0.385374089240003,1.0,1.0,1.0,6.0,0.4524813868325317,0.42414109858762217,0
H202500021,BOT_015,qa,dom,//div[@id='old-513'],//div[@id='new-581'],0.6648980319771429,1.0,1.0,0.0,1.0,1.0567817566959417,1.282941535464448,0
H202500022,BOT_029,prod,ocr,//div[@id='old-862'],//div[@id='old-862'],0.6083268266429955,1.0,0.0,1.0,2.0,1.1161376012192088,1.3291239750355897,0
H202500023,BOT_016,dev,hybrid,//div[@id='old-941'],//div[@id='new-754'],0.2979686169741908,0.0,1.0,1.0,5.0,0.9365451283566806,1.596030845129651,1
H202500024,BOT_023,prod,css,//div[@id='old-834'],//div[@id='new-785'],0.5108807692216705,1.0,1.0,0.0,2.0,1.6553682165345558,1.4521388938751572,0
H202500025,BOT_020,qa,css,//div[@id='old-343'],//div[@id='old-343'],0.5915905680134179,1.0,0.0,0.0,1.0,2.1070200799791143,1.7828637190975802,0
H202500026,BOT_005,prod,vision,//div[@id='old-438'],//div[@id='old-438'],0.558004052087229,1.0,0.0,1.0,1.0,2.2076712218288916,2.9788243020183076,1
H202500027,BOT_013,qa,css,//div[@id='old-365'],//div[@id='old-365'],0.5718652572082543,1.0,0.0,0.0,3.0,1.4288760411965318,2.2925312978134627,1
H202500028,BOT_026,qa,dom,//div[@id='old-126'],//div[@id='new-320'],0.37692943213840585,1.0,1.0,0.0,2.0,1.6446684154812126,1.6636260451153504,1
H202500029,BOT_002,prod,hybrid,//div[@id='old-189'],//div[@id='new-738'],0.22066021995359608,0.0,1.0,1.0,3.0,0.8729388527535911,1.1516088009572742,1
H202500030,BOT_016,prod,dom,//div[@id='old-981'],//div[@id='old-981'],0.49868856590388094,1.0,0.0,0.0,1.0,0.9535354135220468,1.2706259370000177,1
H202500031,BOT_008,prod,dom,//div[@id='old-672'],//div[@id='new-952'],0.5935237510778052,0.0,1.0,0.0,3.0,1.1416667948422807,1.7430177410776055,1
H202500032,BOT_009,qa,css,//div[@id='old-415'],//div[@id='new-608'],0.6709215859803163,0.0,1.0,0.0,3.0,1.0080572347236199,1.396661132331345,1
H202500033,BOT_018,prod,vision,//div[@id='old-731'],//div[@id='new-759'],0.43311223201427373,0.0,1.0,1.0,2.0,1.3061604233993918,2.305774388618709,1
H202500034,BOT_016,prod,css,//div[@id='old-911'],//div[@id='new-113'],0.4710688040782133,1.0,1.0,0.0,2.0,1.0763191634280576,1.6681573945309507,1
H202500035,BOT_014,prod,css,//div[@id='old-843'],//div[@id='new-777'],0.5697397338365059,1.0,1.0,0.0,1.0,3.010418969044364,3.185863684491053,0
H202500036,BOT_012,prod,dom,//div[@id='old-552'],//div[@id='new-502'],0.5499282454984754,1.0,1.0,0.0,1.0,2.2284752269875785,1.794753971664754,0
H202500037,BOT_026,dev,ocr,//div[@id='old-452'],//div[@id='new-112'],0.5454396456940928,0.0,1.0,1.0,2.0,0.6618827254446749,1.0525547671512268,1
H202500038,BOT_003,qa,ocr,//div[@id='old-487'],//div[@id='new-917'],0.5021652701205888,0.0,1.0,1.0,4.0,1.3890721039322682,2.1842288683526454,1
H202500039,BOT_010,prod,css,//div[@id='old-627'],//div[@id='new-721'],0.4643738296428994,1.0,1.0,0.0,2.0,0.8971054649592684,1.0245242441938542,0
